Heads of Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (RE),2007-08 ,2008-09 (BE),2008-09 (R.E.) ,2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (RE),2015-16 (BE)
c) Scientific services & research,1198.19,2027.54,2341.72,2806.93,3141.67,3379.36,3771.85,4362.74,4942.66,5580.8,5360.82,6842.1,6742.93,6559.49,8217.82,7467.19,7174.81,9581.29,8247.55,8002.53,9709.8,9078.93,8806.11,10278.5,11418.74,11208.8,13550.07,13690.65,13570.85,15147.41,15163.2,15282.55,17890.66,17096.7,15554.56,19406.74,15543.81,15244,19113.21,16785,16563,20848,18858,21872
"d) Medical, public health, sanitation & water supply",5989.13,11147.27,12800.46,15168.61,18235.92,20011.71,20641.66,21884.87,22322.63,26107.13,24788.63,28304.77,29257.03,27546.28,33116.25,34514.31,32473.72,37425.39,38010.38,35629.04,43159.83,43113.9,40113.81,48050.19,49161.73,46583.15,58891.73,60058.39,60951.57,68057.13,74524.21,72349.63,81767.56,82532.57,79637.45,95303.27,94524.55,89069,108596.11,101662,97812,113230,119330,136567
e) Family welfare,874.5,1792.09,1795.54,2069.2,2177.29,2640.13,2784.4,3150.74,2914.14,4255.59,3649.89,4745.38,4605.95,3926.69,5594.01,6295.43,5859.82,7580.09,7508.81,7225.49,9176.31,9295.06,8966.7,10132.01,10717.46,11024.24,12706.06,12612.77,13259.73,14446.11,15010.53,15519,17602.07,17091.74,17371.89,21137.91,18407.34,19486,22237.96,21795,21281,16840,17290,19582
f) Housing,449.73,920.65,2019.66,2304.32,2901.26,2832.51,3175.14,3562.25,3679.55,4186.24,4226.84,4767.62,5219.15,5463.66,5134.86,5291.08,5306.11,6290.12,6624.09,6277.8,8565.67,8709.94,8261.78,12447.76,15405.63,14872.71,13358.09,15818.71,15418.82,16265.43,17622.16,17725.83,18934.2,17782.04,17939.86,19990.04,19482.48,17860,25412.25,23725,23037,18904,19644,19320
g) Urban development,724.21,1329.25,1722.48,2106.18,2620.33,3159.51,3166.48,3756.64,4144.26,5538.2,4512.88,5094.93,6084.56,5523.11,6886.54,6610.49,5415.55,11595.78,12437.61,10350.19,18925.86,17571.16,13690.13,23726.43,21022.84,19612.32,20405.19,23339.68,25145.08,27083,30153.2,23485.15,33406.01,31697.48,24980.55,38230.84,37220.28,30426,44216.05,43044,33752,50997,50102,45376
h) Broadcasting,502.56,817.74,987.34,1157.49,1245.27,1336.35,960.94,930.13,967.24,1006.83,1001.47,975.26,1000.01,1010.78,1009.61,1105.19,1078.02,1234.07,1174.82,1124.09,1063.93,1087.08,1093.27,1142.41,1269.71,1218.94,1635.37,1421.92,1440.71,1757.14,1570.22,1567.23,1484.01,1574.01,1586.85,1574.37,1729.04,1729,2180.37,2090,2140,2422,2383,2870
i) Labour and employment,731.75,1237.64,1373.98,1600.26,1793.06,2079.42,2079.34,1998.33,1966.18,2352.82,2220.43,2720.03,2697.01,2489.33,3034.05,3128.52,2918.22,3442.76,3754.66,4383.09,4181.05,4514.81,3845.92,4829.49,5231.14,4634.93,5559.19,5747.07,5492.54,6828.76,7367.64,6531.29,8109.31,8161.31,7654.83,11661.7,11493.81,9557,12989.78,12692,11020,12954,12956,15381
j) Relief on account of natural calamities (P),0.29,244.15,475.16,239.43,230.45,52.36,18.61,22.55,134.21,187.06,171.82,232.86,138.44,117.64,95.71,170.62,170.67,227.18,54.82,79.28,138.41,16.67,14.48,139.88,128.9,62.34,98.64,107.44,90.94,167.23,123.48,44.82,221.78,214.45,129.59,948.02,85.84,57,246.93,738,369,2612,2088,2390
k) Social security and welfare (P),1434.94,3424.57,4211.11,4638.44,5143.72,4591.14,6625.05,6825.78,6563.63,10998.99,8561.95,11527.07,14266.61,10352.49,16356.18,18378.88,15108.72,21797.04,23542.38,18225.68,26049.63,26612.48,24452.09,33840.51,38267.23,33768.59,43164.74,54165.15,43737.58,55623.19,60372.95,57626.5,71498.04,78029.16,73237.8,85897.95,88463.76,104561,104609.05,128111,94812,136292,124148,141070
l) Others,149.59,333.59,325.18,352.53,474.95,472.36,527.92,430.34,494.5,588.19,601.88,563.63,610.39,608.87,689.05,810.24,743.25,1490.14,1591.93,1458.09,1642.42,1728.12,1520.39,1890.61,1911.8,2106.21,1734.82,2287.55,2296.13,2478.19,3028.91,2881.24,2313.34,2397.38,2203.98,2112.43,2641.18,2379,2762.39,3136,2914,3166,3449,3729
